SYMBOL,NAME OF COMPANY, SERIES
CRAFTSMAN,Craftsman Automation Limited,EQ
CREATIVE,Creative Newtech Limited,BE
CREATIVEYE,Creative Eye Limited,BE
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ
CREST,Crest Ventures Limited,BE
CRISIL,CRISIL Limited,EQ
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ
CSBBANK,CSB Bank Limited,EQ
CTE,Cambridge Technology Enterprises Limited,EQ
CUB,City Union Bank Limited,EQ
CUBEXTUB,Cubex Tubings Limited,EQ
CUMMINSIND,Cummins India Limited,EQ
CUPID,Cupid Limited,EQ
CYBERMEDIA,Cyber Media (India) Limited,EQ
CYBERTECH,Cybertech Systems And Software Limited,EQ
CYIENT,Cyient Limited,EQ
DAAWAT,LT Foods Limited,EQ
DABUR,Dabur India Limited,EQ
DALALSTCOM,DSJ Keep Learning Limited,EQ
DALBHARAT,Dalmia Bharat Limited,EQ
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ
DAMODARIND,Damodar Industries Limited,EQ
DANGEE,Dangee Dums Limited,EQ
DATAMATICS,Datamatics Global Services Limited,EQ
DATAPATTNS,Data Patterns (India) Limited,EQ
DBCORP,D.B.Corp Limited,EQ
DBL,Dilip Buildcon Limited,EQ
DBREALTY,D B Realty Limited,BE
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ
DCAL,Dishman Carbogen Amcis Limited,EQ
DCBBANK,DCB Bank Limited,EQ
DCM,DCM  Limited,BE
DCMFINSERV,DCM Financial Services Limited,BE
DCMNVL,DCM Nouvelle Limited,EQ
DCMSHRIRAM,DCM Shriram Limited,EQ
DCMSRIND,DCM Shriram Industries Limited,EQ
DCW,DCW Limited,BE
DECCANCE,Deccan Cements Limited,EQ
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ
DEEPAKNTR,Deepak Nitrite Limited,EQ
DEEPENR,DEEP ENERGY RESOURCES LIMITED,EQ
DEEPINDS,Deep Industries Limited,EQ
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ
DELTACORP,Delta Corp Limited,EQ
DELTAMAGNT,Delta Manufacturing Limited,EQ
DEN,Den Networks Limited,EQ
DENORA,De Nora India Limited,BE
DEVYANI,Devyani International Limited,EQ
DFMFOODS,DFM Foods Limited,EQ
DGCONTENT,Digicontent Limited,BE
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ
DHANBANK,Dhanlaxmi Bank Limited,EQ
DHANI,Dhani Services Limited,EQ
DHANUKA,Dhanuka Agritech Limited,EQ
DHARAMSI,The Dharamsi Morarji Chemical Company Limited,EQ
DHARSUGAR,Dharani Sugars & Chemicals Limited,EQ
DHRUV,Dhruv Consultancy Services Limited,EQ
DHUNINV,Dhunseri Investments Limited,EQ
DIAMONDYD,Prataap Snacks Limited,EQ
DIAPOWER,Diamond Power Infra Ltd,BZ
DICIND,DIC India Limited,EQ
DIGISPICE,DiGiSPICE Technologies Limited,EQ
DIGJAMLMTD,Digjam Limited,EQ
DISHTV,Dish TV India Limited,BE
DIVISLAB,Divi's Laboratories Limited,EQ
DIXON,Dixon Technologies (India) Limited,EQ
DLF,DLF Limited,EQ
DLINKINDIA,D-Link (India) Limited,EQ
DMART,Avenue Supermarts Limited,EQ
DNAMEDIA,Diligent Media Corporation Limited,BE
DODLA,Dodla Dairy Limited,EQ
DOLATALGO,Dolat Algotech Limited,EQ
DOLLAR,Dollar Industries Limited,EQ
DONEAR,Donear Industries Limited,BE
DPABHUSHAN,D. P. Abhushan Limited,EQ
DPSCLTD,DPSC Limited,EQ
DPWIRES,D P Wires Limited,EQ
DRCSYSTEMS,DRC Systems India Limited,BE
DREDGECORP,Dredging Corporation of India Limited,EQ
DRREDDY,Dr. Reddy's Laboratories Limited,EQ
DSSL,Dynacons Systems & Solutions Limited,EQ
DTIL,Dhunseri Tea & Industries Limited,EQ
DUCON,Ducon Infratechnologies Limited,BE
DVL,Dhunseri Ventures Limited,EQ
DWARKESH,Dwarikesh Sugar Industries Limited,EQ
DYNAMATECH,Dynamatic Technologies Limited,BE
DYNPRO,Dynemic Products Limited,EQ
EASEMYTRIP,Easy Trip Planners Limited,BE
EASTSILK,Eastern Silk Industries Limited,EQ
ECLERX,eClerx Services Limited,EQ
EDELWEISS,Edelweiss Financial Services Limited,EQ
EDUCOMP,Educomp Solutions Limited,BZ
EICHERMOT,Eicher Motors Limited,EQ
EIDPARRY,EID Parry India Limited,EQ
EIFFL,Euro India Fresh Foods Limited,EQ
EIHAHOTELS,EIH Associated Hotels Limited,EQ
EIHOTEL,EIH Limited,EQ
EIMCOELECO,Eimco Elecon (India) Limited,EQ
EKC,Everest Kanto Cylinder Limited,EQ
ELECON,Elecon Engineering Company Limited,EQ
ELECTCAST,Electrosteel Castings Limited,EQ
ELECTHERM,Electrotherm (India) Limited,EQ
ELGIEQUIP,Elgi Equipments Limited,EQ
ELGIRUBCO,Elgi Rubber Company Limited,EQ
EMAMILTD,Emami Limited,EQ
EMAMIPAP,Emami Paper Mills Limited,EQ
EMAMIREAL,Emami Realty Limited,EQ
EMKAY,Emkay Global Financial Services Limited,EQ
EMMBI,Emmbi Industries Limited,EQ
ENDURANCE,Endurance Technologies Limited,EQ
ENERGYDEV,Energy Development Company Limited,EQ
ENGINERSIN,Engineers India Limited,EQ
ENIL,Entertainment Network (India) Limited,EQ
EPL,EPL Limited,EQ
EQUIPPP,Equippp Social Impact Technologies Limited,EQ
EQUITAS,Equitas Holdings Limited,EQ
EQUITASBNK,Equitas Small Finance Bank Limited,EQ
ERIS,Eris Lifesciences Limited,EQ
EROSMEDIA,Eros International Media Limited,EQ
ESABINDIA,Esab India Limited,EQ
ESCORTS,Escorts Limited,EQ
ESSARSHPNG,Essar Shipping Limited,EQ
ESTER,Ester Industries Limited,EQ
EUROTEXIND,Eurotex Industries and Exports Limited,EQ
EVEREADY,Eveready Industries India Limited,EQ
EVERESTIND,Everest Industries Limited,EQ
EXCEL,Excel Realty N Infra Limited,BE
EXCELINDUS,Excel Industries Limited,EQ
EXIDEIND,Exide Industries Limited,EQ
EXPLEOSOL,Expleo Solutions Limited,EQ
EXXARO,Exxaro Tiles Limited,EQ
FACT,Fertilizers and Chemicals Travancore Limited,EQ
FAIRCHEMOR,Fairchem Organics Limited,EQ
FCL,Fineotex Chemical Limited,EQ
FCONSUMER,Future Consumer Limited,EQ
FCSSOFT,FCS Software Solutions Limited,BE
FDC,FDC Limited,EQ
FEDERALBNK,The Federal Bank  Limited,EQ
FEL,Future Enterprises Limited,EQ
FIEMIND,Fiem Industries Limited,EQ
FILATEX,Filatex India Limited,EQ
FINCABLES,Finolex Cables Limited,EQ
FINEORG,Fine Organic Industries Limited,EQ
FINOPB,Fino Payments Bank Limited,EQ
FINPIPE,Finolex Industries Limited,EQ
FLEXITUFF,Flexituff Ventures International Limited,EQ
FLFL,Future Lifestyle Fashions Limited,EQ
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ
FMNL,Future Market Networks Limited,EQ
FOCUS,Focus Lighting and Fixtures Limited,EQ
FOODSIN,Foods & Inns Limited,EQ
FORCEMOT,FORCE MOTORS LTD,EQ
FORTIS,Fortis Healthcare Limited,EQ
FOSECOIND,Foseco India Limited,EQ
FRETAIL,Future Retail Limited,EQ
FSC,Future Supply Chain Solutions Limited,EQ
FSL,Firstsource Solutions Limited,EQ
GABRIEL,Gabriel India Limited,EQ
GAEL,Gujarat Ambuja Exports Limited,EQ
GAIL,GAIL (India) Limited,EQ
GAL,Gyscoal Alloys Limited,EQ
GALAXYSURF,Galaxy Surfactants Limited,EQ
GALLANTT,Gallantt Metal Limited,EQ
GALLISPAT,Gallantt Ispat Limited,EQ
GANDHITUBE,Gandhi Special Tubes Limited,EQ
GANECOS,Ganesha Ecosphere Limited,EQ
GANESHBE,Ganesh Benzoplast Limited,EQ
GANESHHOUC,Ganesh Housing Corporation Limited,EQ
GANGAFORGE,Ganga Forging Limited,EQ
GANGESSECU,Ganges Securities Limited,EQ
GARFIBRES,Garware Technical Fibres Limited,EQ
GATI,GATI Limited,EQ
GAYAPROJ,Gayatri Projects Limited,EQ
GDL,Gateway Distriparks Limited,EQ
GEECEE,GeeCee Ventures Limited,EQ
GEEKAYWIRE,Geekay Wires Limited,EQ
GENCON,Generic Engineering Construction and Projects Limited,EQ
GENESYS,Genesys International Corporation Limited,EQ
GENUSPAPER,Genus Paper & Boards Limited,EQ
GENUSPOWER,Genus Power Infrastructures Limited,EQ
GEOJITFSL,Geojit Financial Services Limited,EQ
GEPIL,GE Power India Limited,EQ
GESHIP,The Great Eastern Shipping Company Limited,EQ
GET&D,GE T&D India Limited,EQ
GFLLIMITED,GFL Limited,EQ
GFSTEELS,Grand Foundry Limited,BE
GHCL,GHCL Limited,EQ
GICHSGFIN,GIC Housing Finance Limited,EQ
GICRE,General Insurance Corporation of India,EQ
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ
GILLETTE,Gillette India Limited,EQ
GINNIFILA,Ginni Filaments Limited,EQ
GIPCL,Gujarat Industries Power Company Limited,EQ
GISOLUTION,GI Engineering Solutions Limited,EQ
GKWLIMITED,GKW Limited,EQ
GLAND,Gland Pharma Limited,EQ
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ
GLENMARK,Glenmark Pharmaceuticals Limited,EQ
GLOBAL,Global Education Limited,EQ
GLOBALVECT,Global Vectra Helicorp Limited,EQ
GLOBE,Globe Textiles (India) Limited,EQ
